id,snapshot_time,coin_id,price_usd,market_cap_usd,volume_24h_usd,price_change_24h,raw_data,created_at
187,2026-02-24 15:50:03.866293,bitcoin,63789.0000,1274527597078.0588,49300407373.6386,-3.06,,2026-02-24 15:50:03.866474
188,2026-02-24 15:50:03.866293,ethereum,1844.0000,222420333565.5823,20503595566.9175,-3.10,,2026-02-24 15:50:03.866474
189,2026-02-24 16:00:04.269395,bitcoin,63964.0000,1278612765498.9540,47205143149.9169,-2.60,,2026-02-24 16:00:04.269572
190,2026-02-24 16:00:04.269395,ethereum,1846.6400,222743376615.1983,20402199363.3351,-2.64,,2026-02-24 16:00:04.269572
191,2026-02-24 16:10:04.284505,bitcoin,64196.0000,1285027616453.7612,49482433394.4011,-1.86,,2026-02-24 16:10:04.284664
192,2026-02-24 16:10:04.284505,ethereum,1856.1500,224202999518.9941,20285987350.6630,-1.58,,2026-02-24 16:10:04.284664
193,2026-02-24 16:20:04.002328,bitcoin,64077.0000,1280905181127.4968,49464333272.5537,-2.13,,2026-02-24 16:20:04.002504
194,2026-02-24 16:20:04.002328,ethereum,1854.8700,223916647963.1279,18675741259.1646,-1.84,,2026-02-24 16:20:04.002504
195,2026-02-24 16:30:04.244948,bitcoin,63950.0000,1280402640620.3694,49463579154.5076,-2.55,,2026-02-24 16:30:04.245089
196,2026-02-24 16:30:04.244948,ethereum,1849.3200,223503750162.6792,20459527069.9134,-2.44,,2026-02-24 16:30:04.245089
197,2026-02-24 16:40:02.974318,bitcoin,63875.0000,1277082021963.0984,49689190438.2227,-2.60,,2026-02-24 16:40:02.974472
198,2026-02-24 16:40:02.974318,ethereum,1843.6100,222497249189.0874,21146122796.9138,-2.58,,2026-02-24 16:40:02.974472
199,2026-02-24 16:50:04.671425,bitcoin,64022.0000,1279872152616.0796,49344270045.7152,-2.36,,2026-02-24 16:50:04.671633
200,2026-02-24 16:50:04.671425,ethereum,1849.7200,223257368779.6864,20579640967.0391,-2.22,,2026-02-24 16:50:04.671633
201,2026-02-24 17:00:05.24602,bitcoin,64202.0000,1278813976303.1504,49818168507.7242,-1.85,,2026-02-24 17:00:05.246215
202,2026-02-24 17:00:05.24602,ethereum,1855.2500,222955313900.7219,21292559307.7366,-1.66,,2026-02-24 17:00:05.246215
203,2026-02-24 17:10:04.57322,bitcoin,64376.0000,1284805327707.9563,49459100386.1974,-1.49,,2026-02-24 17:10:04.573378
204,2026-02-24 17:10:04.57322,ethereum,1862.1900,224389572102.6910,20280248211.0803,-1.15,,2026-02-24 17:10:04.573378
205,2026-02-24 17:20:03.990908,bitcoin,64301.0000,1286215240489.1223,49417358268.4929,-1.25,,2026-02-24 17:20:03.991165
206,2026-02-24 17:20:03.990908,ethereum,1862.5800,224787319254.6805,20453311545.9168,-0.13,,2026-02-24 17:20:03.991165
207,2026-02-24 17:30:04.810181,bitcoin,64188.0000,1285173847234.6543,49086753326.6292,-0.85,,2026-02-24 17:30:04.810355
208,2026-02-24 17:30:04.810181,ethereum,1857.0800,224478205629.8694,20291756335.9434,-0.21,,2026-02-24 17:30:04.810355
209,2026-02-24 17:40:05.134085,bitcoin,64224.0000,1283046052880.5380,48684830425.2249,-0.57,,2026-02-24 17:40:05.134252
210,2026-02-24 17:40:05.134085,ethereum,1856.8800,223963785796.2360,20063938387.9093,0.12,,2026-02-24 17:40:05.134252
211,2026-02-24 17:50:05.227358,bitcoin,64166.0000,1282334255718.2322,49786090938.1706,-0.52,,2026-02-24 17:50:05.227544
212,2026-02-24 17:50:05.227358,ethereum,1853.5600,223684385750.2801,19909609221.4151,0.23,,2026-02-24 17:50:05.227544
213,2026-02-24 18:00:03.060631,bitcoin,64215.0000,1281856954755.7385,49555093014.8628,-0.41,,2026-02-24 18:00:03.060825
214,2026-02-24 18:00:03.060631,ethereum,1856.6500,223449501472.4215,20598777060.4312,0.38,,2026-02-24 18:00:03.060825
217,2026-02-25 08:40:32.377259,bitcoin,65399.0000,1307317374998.4138,43760111917.0624,3.24,,2026-02-25 08:40:32.377445
218,2026-02-25 08:40:32.377259,ethereum,1904.2900,229730922352.3300,19900459815.6695,3.80,,2026-02-25 08:40:32.377445
219,2026-02-25 08:41:00.084637,bitcoin,65375.0000,1305184046835.4814,43727350595.0489,3.20,,2026-02-25 08:41:00.084813
221,2026-02-25 08:41:00.084637,ethereum,1902.8600,229275841210.1203,19265048710.2216,3.72,,2026-02-25 08:41:00.084813
220,2026-02-25 08:41:00.087824,bitcoin,65375.0000,1305184046835.4814,43727350595.0489,3.20,,2026-02-25 08:41:00.08799
